TEXT	A1	A2	GOLD
Quanto più s'avanza nel piano, il suo occhio si ritira, disgustato e stanco, da quell'ampiezza uniforme; l'aria gli par gravosa e morta; s'inoltra mesto e disattento nelle città tumultuose; le case aggiunte a case, le strade che sboccano nelle strade, pare che gli levino il respiro; e davanti agli edifizi ammirati dallo straniero, pensa, con desiderio inquieto, al campicello del suo paese, alla casuccia a cui ha già messi gli occhi addosso, da gran tempo, e che comprerà, tornando ricco a' suoi monti.	ANTICIPATION,DISGUST,SADNESS	SADNESS	ANTICIPATION,DISGUST,SADNESS
Ma chi non aveva mai spinto al di là di quelli neppure un desiderio fuggitivo, chi aveva composti in essi tutti i disegni dell'avvenire, e n'è sbalzato lontano, da una forza perversa!	ANGER	ANGER	ANGER
Chi, staccato a un tempo dalle più care abitudini, e disturbato nelle più care speranze, lascia que' monti, per avviarsi in traccia di sconosciuti che non ha mai desiderato di conoscere, e non può con l'immaginazione arrivare a un momento stabilito per il ritorno!	ANGER	SADNESS	ANGER,SADNESS
Addio, casa natìa, dove, sedendo, con un pensiero occulto, s'imparò a distinguere dal rumore de' passi comuni il rumore d'un passo aspettato con un misterioso timore.	SADNESS	SADNESS	SADNESS
Addio, casa ancora straniera, casa sogguardata tante volte alla sfuggita, passando, e non senza rossore; nella quale la mente si figurava un soggiorno tranquillo e perpetuo di sposa.	SADNESS	ANTICIPATION,SADNESS	SADNESS
Addio, chiesa, dove l'animo tornò tante volte sereno, cantando le lodi del Signore; dov'era promesso, preparato un rito; dove il sospiro segreto del cuore doveva essere solennemente benedetto, e l'amore venir comandato, e chiamarsi santo; addio!	SADNESS	SADNESS	SADNESS
Chi dava a voi tanta giocondità è per tutto; e non turba mai la gioia de' suoi figli, se non per prepararne loro una più certa e più grande.	ANTICIPATION,SADNESS	ANTICIPATION,SADNESS	ANTICIPATION,SADNESS
Di tal genere, se non tali appunto, erano i pensieri di Lucia, e poco diversi i pensieri degli altri due pellegrini, mentre la barca gli andava avvicinando alla riva destra dell'Adda.	NEUTRAL	NEUTRAL	NEUTRAL
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
		,,	
